country,total_cases,new_cases,active_cases,total_deaths,new_deaths
Jordan,473509017,1694215.0,20837641.0,5238539.0,14048.0
Kazakhstan,387220992,1305636.0,21676761.0,4388602.0,13661.0
Kenya,120257030,324010.0,3304400.0,2230237.0,5648.0
Kiribati,295276,3056.0,83717.0,1121.0,12.0
Kuwait,217157836,632069.0,7121159.0,1157655.0,2555.0
Kyrgyzstan,84994775,200988.0,3394260.0,1347897.0,2987.0
Laos,28052475,209384.0,0.0,97028.0,753.0
Latvia,137649507,825698.0,11876433.0,1637953.0,5798.0
Lebanon,339438141,1097955.0,33074246.0,3998303.0,10407.0
Lesotho,11305973,32909.0,4194486.0,296256.0,695.0
Liberia,2688100,7450.0,313619.0,118184.0,293.0
Libya,157638363,501903.0,16524781.0,2246653.0,6429.0
Liechtenstein,3011315,17332.0,105687.0,32869.0,83.0
Lithuania,229787456,1060594.0,17766504.0,2823355.0,9127.0
Luxembourg,54356305,244181.0,3765444.0,461881.0,1073.0
Macedonia,101925823,310683.0,5636293.0,3322493.0,9289.0
Madagascar,24220085,64233.0,1294296.0,482444.0,1392.0
Malawi,28444237,85884.0,3079308.0,933708.0,2635.0
Malaysia,929681825,4475851.0,51663562.0,8840840.0,35612.0
Maldives,44435539,179481.0,3500814.0,104611.0,297.0
Mali,9652724,31001.0,1125589.0,305968.0,732.0
Malta,22489588,93443.0,1423949.0,240044.0,712.0
Marshall Islands,2855,16.0,257.0,0.0,0.0
Martinique,24230951,153251.0,23929717.0,224963.0,925.0
Mauritania,18637625,58839.0,806802.0,377675.0,981.0
Mauritius,7061781,37840.0,639032.0,164904.0,995.0
Mayotte,12285846,37362.0,10103912.0,91214.0,186.0
Mexico,1884423814,5745650.0,195701577.0,148318949.0,324463.0
Micronesia,589,6.0,117.0,0.0,0.0
Moldova,171854538,516985.0,6854695.0,4186567.0,11488.0
Monaco,2342328,12003.0,88690.0,17966.0,54.0
Mongolia,117308585,469884.0,26162343.0,556458.0,2178.0
Montenegro,72269273,236210.0,3094123.0,979762.0,2717.0
Montserrat,39289,746.0,5918.0,846.0,1.0
Morocco,428692413,1165705.0,11644459.0,6631388.0,16071.0
Mozambique,68117333,225492.0,4423203.0,746399.0,2200.0
Myanmar,188010292,613134.0,10587681.0,6120435.0,19433.0
Namibia,54154607,160072.0,2666979.0,1260674.0,4027.0
Nauru,168,7.0,60.0,0.0,0.0
Nepal,356177394,978990.0,14674328.0,4541998.0,11952.0
Netherlands,1533418110,8067115.0,241765228.0,11035046.0,22292.0
New Caledonia,7185252,61047.0,604044.0,64557.0,311.0
New Zealand,54194395,1037854.0,8204745.0,54739.0,909.0
Nicaragua,7117073,18490.0,4226129.0,127282.0,224.0
Niger,3528928,9012.0,158444.0,129728.0,309.0
Nigeria,109550045,255859.0,7387645.0,1459975.0,3143.0
Niue,413,8.0,123.0,0.0,0.0
Norway,209804524,1429716.0,0.0,652429.0,3061.0
Oman,154975782,389395.0,6833375.0,1815584.0,4259.0
Pakistan,610750787,1529163.0,29899011.0,13161055.0,30376.0
Palau,414948,4877.0,73293.0,534.0,5.0
Panama,267124301,806276.0,11537706.0,3896159.0,8203.0
Papua New Guinea,11379240,43875.0,569842.0,156796.0,651.0
Paraguay,216871324,649717.0,12567429.0,6660954.0,18871.0
Peru,1272124487,3571918.0,0.0,107561332.0,213020.0
Philippines,1109299725,3687919.0,44273471.0,18478054.0,60454.0
Poland,1779044270,6003296.0,184436572.0,40634353.0,116206.0
Portugal,786594824,4066672.0,0.0,9504867.0,22583.0
Qatar,149363961,366033.0,5268151.0,309108.0,677.0
Reunion,50767211,405979.0,3981045.0,171483.0,761.0
Romania,807541345,2902789.0,0.0,22585860.0,65606.0
Russia,4620860099,18255335.0,408747582.0,109341142.0,377571.0
Rwanda,38162480,129906.0,19425596.0,457769.0,1458.0
Saint Barthelemy,912536,4610.0,0.0,1713.0,5.0
Saint Helena,828,1.0,17.0,0.0,0.0
Saint Kitts And Nevis,1064404,5603.0,87556.0,7959.0,42.0
Saint Lucia,5402228,24163.0,317414.0,90642.0,367.0
Saint Martin,2261684,10600.0,1502809.0,21686.0,62.0
Saint Pierre And Miquelon,216726,2738.0,25584.0,104.0,0.0
Saint Vincent And The Grenadines,1889835,6798.0,202166.0,22198.0,105.0
Samoa,325892,11312.0,255360.0,588.0,23.0
San Marino,3912859,16851.0,209726.0,58216.0,115.0
Sao Tome And Principe,1903362,5966.0,115252.0,26982.0,72.0
Saudi Arabia,333273471,758794.0,10044932.0,4890202.0,9114.0
Senegal,33348165,86034.0,1659809.0,801457.0,1966.0
Serbia,542261742,2012596.0,36338492.0,4841190.0,16045.0
Seychelles,10009908,43233.0,417321.0,45475.0,166.0
Sierra Leone,3347377,7681.0,0.0,68697.0,124.0
Singapore,155107098,1240161.0,9508100.0,212413.0,1362.0
Sint Maarten,2480192,10122.0,106750.0,31963.0,85.0
Slovakia,349926991,1786913.0,26736582.0,6629606.0,20028.0
Slovenia,216620061,1019467.0,14218487.0,2539797.0,6621.0
Solomon Islands,1054096,18173.0,354353.0,11693.0,144.0
Somalia,9770748,26517.0,4287619.0,491078.0,1349.0
South Africa,1415903750,3887448.0,54852374.0,40704511.0,100752.0
South Korea,1118216127,17756599.0,0.0,2620061.0,23661.0
South Sudan,6584418,17524.0,941822.0,69901.0,134.0
Spain,3105478683,12126412.0,373611901.0,50880040.0,105444.0
Sri Lanka,194408140,663662.0,10130184.0,4268152.0,16511.0
State Of Palestine,195184779,582112.0,7932729.0,1992222.0,5352.0
Sudan,24006089,62160.0,0.0,2013525.0,4935.0
Suriname,19947965,80007.0,4919776.0,394194.0,1336.0
Swaziland,21146735,71697.0,1027988.0,515493.0,1401.0
Sweden,698361571,2504893.0,75570213.0,9032105.0,18863.0
Switzerland,681144999,3631880.0,104713820.0,6363510.0,13882.0
Syria,18188620,55868.0,3482753.0,1118227.0,3149.0
Taiwan,11868295,699756.0,5601942.0,284168.0,1048.0
Tajikistan,9757616,17373.0,269390.0,71256.0,122.0
Tanzania,12880067,35335.0,0.0,351636.0,826.0
Thailand,707199193,4367718.0,45386763.0,5966595.0,29424.0
Timor Leste,6479640,22888.0,351621.0,33968.0,130.0
Togo,11177146,37019.0,774105.0,101560.0,272.0
Tonga,504159,11048.0,125130.0,513.0,9.0
Trinidad And Tobago,30073429,154642.0,3891727.0,832369.0,3870.0
Tunisia,314543048,1041196.0,0.0,9901712.0,28575.0
Turkey,4034437279,15053165.0,170839563.0,32743727.0,98889.0
Turks And Caicos Islands,1747595,6045.0,69896.0,12096.0,35.0
UK,5062957080,22159772.0,737291478.0,81951915.0,176708.0
USA,25923193266,84209458.0,2670317843.0,411959656.0,1026646.0
Uganda,56194701,164068.0,15061272.0,1168328.0,3594.0
Ukraine,1489180197,5006459.0,0.0,33643032.0,108449.0
United Arab Emirates,351447469,902153.0,12565132.0,1027791.0,2302.0
Uruguay,204080478,902536.0,7670880.0,2403936.0,7212.0
Uzbekistan,86844907,238784.0,2325975.0,623145.0,1636.0
Vanuatu,317653,8381.0,65921.0,756.0,13.0
Venezuela,179320234,522919.0,6273199.0,1997261.0,5710.0
Viet Nam,1112473226,10695020.0,306704208.0,8361273.0,43065.0
Wallis And Futuna Islands,189912,453.0,9505.0,2835.0,6.0
Western Sahara,7467,6.0,828.0,719.0,0.0
Yemen,4400200,11818.0,731055.0,890469.0,2147.0
Zambia,96499004,320589.0,2529490.0,1430378.0,3982.0
Zimbabwe,63337738,249205.0,3886127.0,1787261.0,5481.0
